inj_tot_t,ev_time,ev_year,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_vel_kts,gust_kts,inj_tot_f,inj_tot_s,inj_tot_m,dec_latitude,dec_longitude,total_seats,num_eng,afm_hrs_last_insp,rwy_len,acft_year,power_units
2,2142,2014,0,0,10,81,61,7,0,2,0,0,43.190223,-73.639328,2,1,16,2200,1963,0
2,2155,2015,5000,0,10,59,46,9,0,0,1,1,29.761943,-94.848052,4,1,24,5035,1965,0
4,1810,2014,10000,0,80,77,41,5,0,0,0,0,39.939723,-120.940551,4,1,3,4105,1967,0
1,2330,2013,0,0,10,75,34,4,0,0,0,0,33.871944,-117.979721,4,1,2300,3200,1975,0
1,1531,2014,0,0,40,91,63,4,0,0,0,0,33.239929,-111.779174,2,1,41,4870,1976,0
2,1850,2013,0,0,10,59,19,8,0,0,0,2,34.26361,-116.866111,4,1,44,5850,1978,0
2,50,2016,0,0,10,63,57,7,15,2,0,0,30.399999,-86.471389,4,1,43,5001,1979,0
1,1900,2014,0,0,10,70,54,7,0,0,0,0,39.680385,-77.65084,4,1,4822,7000,1985,0
2,2030,2012,5000,12000,20,66,52,14,24,0,0,0,33.526668,-112.294998,4,1,30,7150,2000,0
1,2300,2014,0,0,10,90,50,13,16,0,0,0,34.639415,-120.020782,4,1,14,2803,2005,0
2,2030,2015,0,0,10,59,46,5,0,0,0,0,44.595001,-122.952224,2,1,15,1500,2008,0
2,1511,2014,0,9000,10,66,57,4,0,0,0,0,39.938888,-74.840835,8,2,29,3881,2008,0
1,2115,2020,0,0,9,76,31,6,0,0,0,0,47.904868,-122.10274,2,1,896,2672,1978,15
1,1437,2016,0,0,10,84,70,7,0,0,0,1,37.093055,-84.067497,1,1,2,5751,2006,28
1,1610,2012,2200,11000,10,81,68,4,0,1,0,0,30.731111,-86.15361,1,1,8,4146,2010,37
1,1507,2019,1900,0,10,84,73,5,0,0,1,0,29.634166,-97.811668,1,1,1,2600,1999,40
1,2100,2014,0,4600,10,88,66,8,0,0,1,0,38.923332,-84.043609,1,1,1,1500,2001,40
1,1850,2020,0,0,10,57,21,11,16,0,0,0,29.394882,-98.487868,1,1,20,3000,2017,40
1,1418,2019,0,0,10,73,70,4,0,0,1,0,28.341388,-80.685279,2,1,10,3601,2009,50
1,1415,2021,0,0,10,68,45,6,0,0,0,0,40.59683,-82.43173,1,1,7,3002,2017,50
1,1600,2017,0,0,10,75,54,5,0,0,1,0,47.956943,-116.677497,1,1,2,3500,2017,50
1,1920,2015,0,0,10,86,57,3,0,0,0,1,36.435276,-79.846389,1,1,25,5199,2002,52
2,1413,2016,0,7000,10,64,63,5,0,2,0,0,29.408056,-81.514442,2,1,18,3400,2008,52
1,1915,2018,0,0,10,59,37,6,0,1,0,0,38.024444,-77.960556,1,1,21,4300,2016,52
1,34,2017,0,0,10,79,46,5,0,0,1,0,29.625278,-98.278053,1,1,34,700,1997,55
2,2237,2014,15000,0,10,70,54,5,0,1,0,1,34.822776,-91.993888,2,1,97,3800,2013,60
1,1600,2015,0,0,7,55,50,5,0,0,0,1,45.722778,-87.093612,2,1,61,6501,1988,64
2,2040,2019,0,0,10,90,75,11,0,0,2,0,30.543611,-87.555831,2,1,2,2400,2005,64
1,1800,2014,3600,4400,10,72,59,13,0,0,1,0,41.221389,-79.438613,2,1,0,5003,2007,64
1,2140,2016,3500,3500,10,55,46,4,0,1,0,0,36.196109,-86.308334,1,1,12,1801,2014,64
2,1705,2014,0,0,10,64,48,3,0,2,0,0,35.559722,-120.792221,2,1,9,2200,1939,65
1,1400,2019,2900,0,10,82,75,9,0,0,0,0,32.840557,-93.834724,2,1,10,3100,1939,65
2,35,2015,0,8000,10,32,9,4,0,2,0,0,46.718055,-94.376113,2,1,10,3000,1940,65
1,2100,2015,0,0,10,79,61,11,0,0,0,0,48.498611,-122.662498,2,1,2,3015,1940,65
2,2030,2017,0,0,10,54,36,11,0,0,2,0,42.883888,-88.584999,2,1,106,2800,1945,65
2,2210,2014,7000,7000,10,57,32,9,0,0,0,2,35.692501,-84.011947,2,1,4,1700,1946,65
1,1829,2016,11000,0,10,72,46,8,0,0,1,0,36.5625,-80.136108,2,1,22,2160,1946,65
2,1700,2020,0,0,10,45,28,4,0,0,0,0,37.602493,-76.446681,2,1,4,2167,1946,65
2,2200,2015,0,0,10,82,55,7,0,0,1,0,40.824722,-72.750831,2,1,9,2300,1946,65
2,1325,2021,0,0,10,63,48,5,0,0,0,2,39.843405,-82.578716,2,1,18.29999924,2550,1946,65
2,1353,2021,0,16000,10,81,73,8,0,2,0,0,32.824615,-97.530744,2,1,2.75999999,2800,1946,65
2,1305,2018,0,0,10,61,43,7,0,1,1,0,41.426109,-74.403892,2,1,5,2811,1946,65
2,2240,2017,2000,0,10,55,32,15,0,2,0,0,41.933055,-72.565834,2,1,1,3242,1946,65
