ev_year,ev_month,apt_dist,ev_country,light_cond,sky_cond_nonceil,wind_vel_kts,gust_kts,altimeter,vis_sm,wx_dew_pt,inj_tot_f,inj_tot_s,inj_tot_m,acft_make,wx_temp,acft_model,acft_category,homebuilt,total_seats,num_eng,afm_hrs_last_insp,second_pilot,damage,acft_fire,acft_expl,flt_plan_filed,eng_type,eng_mfgr,eng_model,power_units,carb_fuel_injection
2008,1,0,USA,DAYL,CLER,10,0,30.19000053,10,32,0,0,0,Barnard/Stancil,57,Glastar,AIR,Y,2,1,,N,SUBS,NONE,NONE,NONE,REC,Textron Lycoming,O-360,180,CARB
2008,1,0,USA,DAYL,CLER,10,0,30.19000053,10,32,0,0,0,PIPER,57,PA 28-180,AIR,N,4,1,75,N,MINR,NONE,NONE,NONE,REC,Textron Lycoming,O-360-A3A,180,CARB
2008,1,0,USA,NITE,CLER,16,0,30.63999939,10,0,0,0,0,Pilatus,0,PC-12/45,AIR,N,9,1,,N,,NONE,NONE,IFR,TP,Pratt & Whitney Canada,PT6A-67A,1200,
2008,1,0,USA,DAYL,CLER,15,20,30.62000084,10,14,0,0,0,Micco Aircraft Company,55,MAC-145B,AIR,N,2,1,,N,SUBS,NONE,NONE,NONE,REC,Lycoming,IO-540,260,FINJ
2008,1,5,USA,DAYL,CLER,13,0,30.29000092,10,59,0,0,0,PIPER,73,PA-28-161,AIR,N,4,1,52,Y,SUBS,NONE,NONE,NONE,REC,Lycoming,O-320-D1G,180,CARB
2008,1,1,USA,DAYL,SCAT,11,20,30.64999962,10,12,0,0,0,Costruzioni Aeronautiche,30,P2002 Sierra,AIR,N,2,1,19,N,SUBS,NONE,NONE,NONE,REC,Rotax,912ULS,95,CARB
2008,1,0,USA,DAYL,CLER,5,0,30.29000092,10,43,0,0,1,CESSNA,48,R172K,AIR,N,4,1,54,N,SUBS,NONE,NONE,IFR,REC,Continental,IO-360-kb4b,190,FINJ
2008,1,1,USA,DAYL,CLER,5,0,30.26000023,10,7,0,0,0,CESSNA,19,152,AIR,N,2,1,,N,SUBS,NONE,NONE,NONE,REC,Lycoming,O-235-L2C,110,CARB
2008,1,0,USA,DAYL,SCAT,10,15,30.03000069,10,21,0,0,0,CESSNA,34,172M,AIR,N,4,1,180,N,SUBS,NONE,NONE,NONE,REC,Lycoming,O-320-E1D,150,CARB
2008,1,1,USA,DAYL,SCAT,4,0,30.09000015,10,25,4,0,0,CESSNA,36,340,AIR,N,6,2,,N,SUBS,NONE,NONE,NONE,REC,Continental,TSIO-520-J(1),310,FINJ
2008,1,1,USA,DAYL,SCAT,4,0,30.09000015,10,25,4,0,0,CESSNA,36,340,AIR,N,6,2,,N,SUBS,NONE,NONE,NONE,REC,Continental,TSIO-520-J(1),310,FINJ
2008,1,0,USA,DAYL,FEW,17,26,28.95999908,10,14,6,3,1,PIPER,25,PA-31-350,AIR,N,10,2,27,N,SUBS,NONE,NONE,CVFR,REC,Lycoming,TIO-540 Serie,350,FINJ
2008,1,0,USA,DAYL,FEW,17,26,28.95999908,10,14,6,3,1,PIPER,25,PA-31-350,AIR,N,10,2,27,N,SUBS,NONE,NONE,CVFR,REC,Lycoming,TIO-540 Serie,350,FINJ
2008,1,0,USA,NDRK,SCAT,23,27,30.12000084,10,55,1,0,0,Hawker Beechcraft Corporation,68,1900C,AIR,N,2,2,73,N,DEST,NONE,NONE,IFR,TP,Pratt and Whitney,PT6A-65B,1100,
2008,1,0,USA,NDRK,SCAT,23,27,30.12000084,10,55,1,0,0,Hawker Beechcraft Corporation,68,1900C,AIR,N,2,2,73,N,DEST,NONE,NONE,IFR,TP,Pratt and Whitney,PT6A-65B,1100,
2008,1,0,USA,DAYL,CLER,,0,30.05999947,10,37,1,0,0,Corsario,64,MK-5,AIR,Y,2,1,,N,SUBS,NONE,NONE,NONE,REC,Hirth,F30,80,CARB
2008,1,0,USA,DAYL,CLER,,0,0,10,43,0,0,1,PIPER,48,PA-12,AIR,N,3,1,50,N,SUBS,NONE,NONE,NONE,REC,Lycoming,O-360,160,CARB
2008,1,0,USA,NITE,CLER,,0,30.27000046,10,45,0,0,0,"Bombardier, Inc.",52,CL-600-2C10,AIR,N,70,2,2643,Y,SUBS,NONE,NONE,IFR,TF,General Electric,CF34-8C1,13780,
2008,1,0,USA,NITE,CLER,,0,30.27000046,10,45,0,0,0,BOEING,52,757-222,AIR,N,192,2,,N,SUBS,NONE,NONE,NONE,TF,Pratt & Whitney,Pw2037,37000,
2008,1,0,USA,DAYL,SCAT,17,0,29.36000061,10,27,0,0,1,CESSNA,30,208B,AIR,N,5,1,2,N,SUBS,NONE,NONE,CVFR,TP,Pratt & Whitney Canada,PT6A-114A,675,
2008,1,1,USA,DAYL,,5,0,29.79000092,0.5,30,0,1,0,CESSNA,32,207,AIR,N,6,1,94,N,SUBS,NONE,NONE,CVFR,REC,Continental,IO-520,300,FINJ
2008,1,0,USA,DAYL,,5,0,30.01000023,8,16,0,1,0,Ziermann,21,RV8,AIR,Y,2,1,,N,SUBS,NONE,NONE,NONE,REC,Lycoming,IO-360-A1B,200,FINJ
2008,1,1,USA,NITE,,6,0,30.25,10,19,1,0,0,Hawker Beechcraft Corp.,32,58,AIR,N,6,2,84.09999847,N,SUBS,GRD,NONE,NONE,REC,Continental,IO-550-C (31),300,FINJ
2008,1,1,USA,NITE,,6,0,30.25,10,19,1,0,0,Hawker Beechcraft Corp.,32,58,AIR,N,6,2,84.09999847,N,SUBS,GRD,NONE,NONE,REC,Continental,IO-550-C (31),300,FINJ
2008,1,0,USA,DAYL,FEW,4,0,30.29999924,10,61,0,0,0,BELL,66,407,HELI,N,7,1,,N,SUBS,NONE,NONE,CVFR,TS,Rolls Royce,250-C47B,674,
2008,1,0,USA,NITE,CLER,6,0,30.04999924,10,23,0,0,0,Boeing,37,737-2H4,AIR,N,63,2,,Y,,NONE,NONE,IFR,TF,Pratt & Whitney,JT8D-17,,
2008,1,0,USA,NITE,CLER,6,0,30.04999924,10,23,0,0,0,Boeing,37,737-2H4,AIR,N,63,2,,Y,,NONE,NONE,IFR,TF,Pratt & Whitney,JT8D-17,,
2008,1,0,USA,DAYL,FEW,11,0,29.89999962,10,68,3,0,0,CESSNA,79,172L,AIR,N,4,1,235.3999939,N,SUBS,NONE,NONE,NONE,REC,Lycoming,O-320-E2D,160,CARB
2008,1,0,USA,DAYL,CLER,5,0,30.29999924,10,23,0,0,0,Grumman American,30,AA-5B,AIR,N,4,1,96,N,SUBS,NONE,NONE,NONE,REC,Lycoming,O-360-,180,CARB
2008,1,0,USA,DAYL,CLER,4,0,30.30999947,10,16,0,0,1,DEAN PATRICK G,39,GENESIS,AIR,Y,2,1,5,N,SUBS,NONE,NONE,MVFR,REC,ROTAX,912S,100,CARB
2008,1,12,USA,DAYL,CLER,3,0,30.20000076,5,34,1,0,0,Hawker Beechcraft Corp.,55,V35B,AIR,N,4,1,,N,SUBS,NONE,NONE,IFR,REC,Teledyne Continental,IO-520-BA14,285,FINJ
2008,1,1,USA,DAYL,,15,0,29.88999939,10,30,0,0,0,Airbus Industrie,39,A319-114,AIR,N,132,2,317,Y,SUBS,NONE,NONE,IFR,TF,CFM International,CFM56-5-A5,23500,
2008,1,0,USA,DAYL,,15,0,30.20000076,10,64,2,0,0,Robinson,79,R44,HELI,N,4,1,95,N,SUBS,GRD,GRD,NONE,REC,Lycoming,O-540-F1B5,260,CARB
2008,1,17,USA,DAYL,CLER,10,0,30.12999916,2,36,1,0,0,PIPER,37,PA46-500TP,AIR,N,6,1,66,N,DEST,GRD,NONE,IFR,TP,Pratt & Whitney Canada,PT6A-42A,500,
2008,1,1,USA,DAYL,CLER,10,0,30.12000084,10,16,0,1,0,Phillips,55,Flite Bike,AIR,Y,1,1,,N,SUBS,NONE,NONE,NONE,REC,Rotax,503,50,CARB
2008,1,0,USA,DAYL,CLER,,0,29.79999924,10,1,0,0,0,MacAdams,10,Titan Tornado 912,AIR,Y,2,1,,N,SUBS,NONE,NONE,NONE,REC,Jabiru,3300,120,CARB
2008,1,0,USA,DAYL,CLER,0,0,30.04999924,10,28,0,0,0,Newbold,43,Newbold 2000,GYRO,Y,,1,,,SUBS,NONE,,NONE,REC,Subaru,EJ-22,,
2008,1,2,USA,NITE,,18,21,30,3,34,1,0,0,AERO COMMANDER,32,500B,AIR,N,2,2,,N,SUBS,NONE,NONE,IFR,REC,Lycoming,IO540-E1A5,290,FINJ
2008,1,2,USA,NITE,,18,21,30,3,34,1,0,0,AERO COMMANDER,32,500B,AIR,N,2,2,,N,SUBS,NONE,NONE,IFR,REC,Lycoming,IO540-E1A5,290,FINJ
2008,1,0,USA,DAYL,CLER,7,0,29.89999962,10,36,4,0,0,CESSNA,61,172N,AIR,N,4,1,95,N,DEST,NONE,NONE,NONE,REC,Lycoming,O-320-H2AD,160,CARB
2008,1,0,USA,DAYL,CLER,7,0,29.89999962,10,36,4,0,0,CESSNA,61,150M,AIR,N,2,1,,Y,DEST,NONE,NONE,NONE,REC,Continental,O-200-A,100,CARB
2008,1,0,USA,DAYL,CLER,10,14,30.31999969,10,37,0,0,0,CESSNA,54,U206F,AIR,N,6,1,4,N,SUBS,NONE,NONE,NONE,REC,Continental,IO-520-F,300,FINJ
2008,1,0,USA,NITE,CLER,3,0,30.20000076,10,46,1,0,0,ROBINSON HELICOPTER,55,R22 BETA,HELI,N,2,1,15.89999962,N,DEST,GRD,GRD,NONE,REC,LYCOMING,O-360-J2A,145,CARB
2008,1,0,USA,DAYL,,8,0,30.14999962,10,0,0,0,0,Robinson,149,R-22,HELI,N,2,1,,N,SUBS,NONE,NONE,NONE,REC,Lycoming,O-320-B2C,160,CARB
2008,1,0,USA,DAYL,CLER,6,0,30.17000008,10,0,0,0,0,PIPER,52,PA32-301FT,AIR,N,6,1,,N,SUBS,NONE,NONE,NONE,REC,LYCOMING,IO-540-K1G5,300,FINJ
2008,2,0,USA,DAYL,CLER,5,0,29.97999954,10,37,2,0,0,CIRRUS DESIGN CORP,57,SR22,AIR,N,4,1,42.59999847,Y,DEST,GRD,GRD,NONE,REC,CONT MOTOR,IO-550-N,310,
2008,1,5,USA,DAYL,CLER,9,0,30.04000092,10,54,0,2,0,GRUMMAN,73,G-21A,AIR,N,6,2,38,N,SUBS,NONE,NONE,CVFR,REC,Pratt & Whitney,R985-AN-14B,450,CARB
2008,1,5,USA,DAYL,CLER,9,0,30.04000092,10,54,0,2,0,GRUMMAN,73,G-21A,AIR,N,6,2,38,N,SUBS,NONE,NONE,CVFR,REC,Pratt & Whitney,R985-AN-14B,450,CARB
2008,2,0,USA,DAYL,CLER,3,0,30.17000008,10,28,1,0,0,KAYLOR J E/STRAHLMANN R L,59,RV-4,AIR,Y,2,1,,N,SUBS,GRD,,NONE,REC,LYCOMING,O-320,160,CARB
2008,1,0,USA,DAYL,CLER,,0,0,30,0,0,0,0,Bell,72,206 B2,HELI,N,5,1,,N,SUBS,NONE,NONE,NONE,TS,Rolls-Royce,250 C-20B,400,
2008,1,0,USA,DAYL,CLER,,0,30.29000092,10,16,2,0,0,Air Creation,45,Clipper,AIR,N,2,1,,Y,SUBS,NONE,NONE,NONE,REC,Rotax,582,50,CARB
2008,1,0,USA,DAYL,CLER,5,0,30.25,10,34,1,0,0,Unknown,55,Free Bird Sportlite,AIR,N,2,1,,N,DEST,GRD,NONE,NONE,REC,Two Stroke International,690L-70,70,FINJ
2008,1,0,USA,DAYL,CLER,3,0,30.51000023,10,3,0,0,2,PIPER,30,PA-28-R200,AIR,N,4,1,,N,SUBS,NONE,NONE,NONE,REC,Lycoming,IO-360,,FINJ
2008,1,0,USA,DAYL,FEW,9,0,30.17000008,10,55,0,1,0,Robinson,73,R22 Beta,HELI,N,2,1,28,N,SUBS,NONE,NONE,NONE,REC,Lycoming,O-360,124,CARB
2008,1,0,USA,DAYL,CLER,11,24,30.37000084,9,5,0,0,0,Beech,37,A36,AIR,N,5,1,,N,SUBS,NONE,NONE,IFR,REC,Continental,IO-550,300,FINJ
2008,2,2,USA,DAYL,FEW,5,0,29.54999924,10,30,0,1,0,Bellanca,37,17-30A,AIR,N,4,1,,N,SUBS,NONE,NONE,NONE,REC,Continental,IO-520-K1B,300,FINJ
2008,2,0,USA,DAYL,OVCT,,0,29.80999947,10,19,0,0,0,PIPER,25,PA-32R-301T,AIR,N,6,1,,N,SUBS,NONE,NONE,IFR,REC,Lycoming,TIO-540-AH1A,300,FINJ
2008,2,0,USA,DAYL,,,0,0,2,32,6,0,0,RAYTHEON AIRCRAFT COMPANY,34,C90A,AIR,N,6,2,,Y,SUBS,NONE,NONE,IFR,TP,Pratt & Whitney Aircraft of Ca,PT6A-21,550,
2008,2,0,USA,DAYL,,,0,0,2,32,6,0,0,RAYTHEON AIRCRAFT COMPANY,34,C90A,AIR,N,6,2,,Y,SUBS,NONE,NONE,IFR,TP,Pratt & Whitney Aircraft of Ca,PT6A-21,550,
2008,2,0,USA,DAYL,,,10,0,10,0,1,0,0,KIDD CHRIS,50,HARMON ROC,AIR,Y,2,1,,N,DEST,NONE,NONE,NONE,REC,LYCOMING,IO-540,300,FINJ
2008,2,0,USA,NDRK,UNK,3,0,30.30999947,3,21,2,0,0,CESSNA,21,525,AIR,N,8,2,1649,N,DEST,GRD,GRD,IFR,TF,WILLIAMS,FJ 44 SERIES,1900,
2008,2,0,USA,NDRK,UNK,3,0,30.30999947,3,21,2,0,0,CESSNA,21,525,AIR,N,8,2,1649,N,DEST,GRD,GRD,IFR,TF,WILLIAMS,FJ 44 SERIES,1900,
