ev_time,ev_year,ev_country,light_cond,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_vel_kts,gust_kts,inj_tot_t,inj_tot_f,inj_tot_s,inj_tot_m,dec_latitude,dec_longitude,damage,acft_fire,acft_make,acft_model,total_seats,num_eng,afm_hrs_last_insp,second_pilot,rwy_len,acft_year,power_units,carb_fuel_injection,eng_type,eng_mfgr
1510,2009,USA,DAYL,200000,0,70,68,45,,0,2,0,0,0,40.020767,-105.249954,SUBS,NONE,TAYLORCRAFT,BCS-65,2,1,,N,,,65,CARB,REC,Continental
1900,2010,USA,DAYL,150000,0,10,70,46,9,0,1,0,1,0,42.154167,-88.511947,SUBS,NONE,SCHWEIZER,SGS 1-34R,1,0,,N,2500,,,,,
1530,2012,USA,DAYL,120000,0,10,81,57,5,0,2,0,0,0,40.819442,-76.858612,SUBS,NONE,LUSCOMBE,8E,2,1,,N,4760,,85,CARB,REC,CONT MOTOR
1517,2008,USA,DAYL,70000,0,9,77,70,5,0,1,0,1,0,30.206111,-94.498611,SUBS,NONE,Grumman American Aviation,AA-5A,4,1,60,N,,,160,CARB,REC,Lycoming
109,2016,USA,NITE,35000,45000,,0,0,,0,151,0,0,27,43.498611,-100.480003,MINR,NONE,AIRBUS,A320 232,,2,,Y,,2006,9895,,TF,IAE
109,2016,USA,NITE,35000,45000,,0,0,,0,151,0,0,27,43.498611,-100.480003,MINR,NONE,AIRBUS,A320 232,,2,,Y,,2006,9895,,TF,IAE
2034,2021,USA,DAYL,30000,0,10,70,32,11,0,6,0,0,0,30.261367,-97.650147,SUBS,NONE,LEONARDO SPA,AW169,6,2,,N,,2019,850,,TS,Pratt & Whitney
2034,2021,USA,DAYL,30000,0,10,70,32,11,0,6,0,0,0,30.261367,-97.650147,SUBS,NONE,LEONARDO SPA,AW169,6,2,,N,,2019,850,,TS,Pratt & Whitney
1250,2022,USA,DAYL,30000,0,,70,61,8,0,1,0,0,0,41.17525,-93.32159,SUBS,GRD,ULTRAMAGIC SA,M56C,,1,,N,,2019,,,,
2030,2015,USA,DAYL,30000,0,10,75,27,4,0,1,0,0,0,33.412776,-102.15361,SUBS,NONE,AIR TRACTOR INC,AT 602,1,1,,N,3920,2011,1050,,TP,Pratt & Whitney
1400,2016,USA,DAYL,30000,0,10,37,12,,0,5,0,0,0,32.847221,-96.851669,,NONE,Cessna,560,7,2,,Y,7752,2005,3400,FINJ,TF,Pratt & Whitney Canada
1400,2016,USA,DAYL,30000,0,10,37,12,,0,5,0,0,0,32.847221,-96.851669,,NONE,Cessna,560,7,2,,Y,7752,2005,3400,FINJ,TF,Pratt & Whitney Canada
1330,2014,USA,DAYL,30000,0,10,55,27,7,0,1,1,0,0,33.910251,-102.330375,SUBS,NONE,AEROTRIKE,SAFARI,2,1,,N,4021,2001,50,,REC,ROTAX
2000,2021,USA,DAYL,30000,0,10,79,25,13,0,262,0,1,0,32.8998,-96.9403,,NONE,BOEING,777-223,289,2,,,9300,2000,90000,,TF,ROLLS-ROYCE
2000,2021,USA,DAYL,30000,0,10,79,25,13,0,262,0,1,0,32.8998,-96.9403,,NONE,BOEING,777-223,289,2,,,9300,2000,90000,,TF,ROLLS-ROYCE
1800,2011,USA,DAYL,30000,0,10,72,34,18,24,1,0,0,1,34.20972,-118.489723,SUBS,NONE,BEECH,95-B55 (T42A),6,2,33,N,,,260,FINJ,REC,CONT MOTOR
1800,2011,USA,DAYL,30000,0,10,72,34,18,24,1,0,0,1,34.20972,-118.489723,SUBS,NONE,BEECH,95-B55 (T42A),6,2,33,N,,,260,,REC,CONT MOTOR
2230,2017,USA,DAYL,28000,0,10,70,48,7,0,1,0,0,1,34.095554,-119.075279,SUBS,NONE,QUICKSILVER,MXL SPORT,1,1,,N,,2001,54,CARB,REC,ROTAX
11,2014,USA,DAYL,28000,0,10,72,61,,0,1,1,0,0,34.116943,-119.082496,DEST,NONE,HAWKER AIRCRAFT LTD,HAWKER HUNTER MK.58,1,1,,N,11102,1959,10150,,TJ,Avon
1955,2015,USA,DAYL,26000,0,10,61,19,6,0,1,0,1,0,33.552501,-102.372497,SUBS,NONE,AIR TRACTOR INC,AT 400,1,1,0,N,6110,1983,680,,TP,Pratt & Whittney
1810,2021,USA,DAYL,26000,0,50,52,23,,0,2,0,1,1,34.91891,-118.03839,DEST,GRD,AERMACCHI,IMPALA MB-326M,2,1,,Y,,1967,2500,,TF,ROLLS-ROYCE
630,2014,USA,DAYL,26000,0,40,72,43,6,0,2,0,0,0,62.841388,-149.105834,SUBS,NONE,DEHAVILLAND,DHC 2,2,1,,N,1400,1957,450,CARB,REC,P & W
1550,2020,USA,DAYL,25000,0,10,54,43,,0,2,0,0,0,33.423332,-112.375274,SUBS,NONE,MERWIN,Kitfox,2,1,,Y,8500,2019,100,CARB,REC,Rotax
1416,2021,USA,DAYL,25000,0,10,64,52,6,0,1,1,0,0,41.003637,-81.738904,DEST,NONE,KLAPP PETER A,KLAPP KR-2S,2,1,,N,3530,2019,100,CARB,REC,Chevrolet
1645,2020,USA,DAYL,25000,0,10,81,52,,0,1,0,0,0,45.145278,-93.211944,SUBS,NONE,SONEX,ONEX,1,1,,N,5000,2017,,CARB,REC,Revmaster
833,2021,USA,NITE,25000,0,10,39,48,4,0,123,0,0,0,36.079812,-115.15344,SUBS,NONE,AIRBUS,A320-251N,195,2,,Y,10526,2017,27120,,TJ,CFM INTL
833,2021,USA,NITE,25000,0,10,39,48,4,0,123,0,0,0,36.079812,-115.15344,SUBS,NONE,AIRBUS,A320-251N,195,2,,Y,10526,2017,27120,,TJ,CFM INTL
2236,2017,USA,DAYL,25000,0,10,70,14,5,0,2,0,0,0,31.901666,-106.651107,SUBS,NONE,ROBINSON MICHAEL E,COZY MARK IV,4,1,2,Y,400,2016,200,FINJ,REC,Lycoming
1800,2018,USA,DAYL,25000,0,10,45,19,8,0,1,0,0,0,30.379999,-98.011108,SUBS,NONE,DAYTON A DABBS,MAGNI M-16,2,1,12,N,,2016,115,CARB,REC,Rotax
